Tweet,Keyword,tweet_lowercase,tweet_without_stopwords,tweet_stemmed
"Nepal reports 287 new Covid-19 cases, two deaths According to the Health Ministry, the countrywide death toll has now reached 11,436 and the number of active cases stands at 8,890. ",death toll,"nepal reports 287 new covid-19 cases, two deaths according to the health ministry, the countrywide death toll has now reached 11,436 and the number of active cases stands at 8,890. ","nepal reports 287 new covid-19 cases , two deaths according health ministry , countrywide death toll reached 11,436 number active cases stands 8,890 .","nepal report 287 new covid-19 case , two death accord health ministri , countrywid death toll reach 11,436 number activ case stand 8,890 ."
"The acting leader of Myanmar’s parallel civilian government said it will seek to give people the legal right to defend themselves as the death toll in protests against last month’s coup exceeded 80, according to an advocacy group. ",death toll,"the acting leader of myanmar’s parallel civilian government said it will seek to give people the legal right to defend themselves as the death toll in protests against last month’s coup exceeded 80, according to an advocacy group. ","acting leader myanmar ’ parallel civilian government said seek give people legal right defend death toll protests last month ’ coup exceeded 80 , according advocacy group .","act leader myanmar ’ parallel civilian govern said seek give peopl legal right defend death toll protest last month ’ coup exceed 80 , accord advocaci group ."
"UPDATE: Death toll from floods and landslides triggered by the continuous heavy rainfall since Friday has reached 43 until 9 PM on saturday, according to the latest bulletin published by Nepal Police. ",death toll,"update: death toll from floods and landslides triggered by the continuous heavy rainfall since friday has reached 43 until 9 pm on saturday, according to the latest bulletin published by nepal police. ","update : death toll floods landslides triggered continuous heavy rainfall since friday reached 43 9 pm saturday , according latest bulletin published nepal police .","updat : death toll flood landslid trigger continu heavi rainfal sinc friday reach 43 9 pm saturday , accord latest bulletin publish nepal polic ."
"Nepal reports 730 new Covid-19 cases, nine deaths According to the Health Ministry, the countrywide death toll has now reached 11,096 and the number of active cases stands at 19,142. ",death toll,"nepal reports 730 new covid-19 cases, nine deaths according to the health ministry, the countrywide death toll has now reached 11,096 and the number of active cases stands at 19,142. ","nepal reports 730 new covid-19 cases , nine deaths according health ministry , countrywide death toll reached 11,096 number active cases stands 19,142 .","nepal report 730 new covid-19 case , nine death accord health ministri , countrywid death toll reach 11,096 number activ case stand 19,142 ."
"Nepal reports 437 cases as rapid antigen tests added to daily infection tallies According to the Health Ministry, the countrywide death toll has now reached 11,913 and the number of active cases stands at 14,435. ",death toll,"nepal reports 437 cases as rapid antigen tests added to daily infection tallies according to the health ministry, the countrywide death toll has now reached 11,913 and the number of active cases stands at 14,435. ","nepal reports 437 cases rapid antigen tests added daily infection tallies according health ministry , countrywide death toll reached 11,913 number active cases stands 14,435 .","nepal report 437 case rapid antigen test ad daili infect talli accord health ministri , countrywid death toll reach 11,913 number activ case stand 14,435 ."
"Nepal reports 13 more Covid-19-related fatalities to take the death toll to 1,202; national tally reaches 206,353 with 2,111 new infections ",death toll,"nepal reports 13 more covid-19-related fatalities to take the death toll to 1,202; national tally reaches 206,353 with 2,111 new infections ","nepal reports 13 covid-19-related fatalities take death toll 1,202 ; national tally reaches 206,353 2,111 new infections","nepal report 13 covid-19-rel fatal take death toll 1,202 ; nation talli reach 206,353 2,111 new infect"
"Nepal’s Covid-19 death toll reaches 195 with record 12 more fatalities, 927 new infections take the tally to 36,456 Kathmandu Valley reports 415 new cases, highest for a single day so far, according to the Health Ministry. ",death toll,"nepal’s covid-19 death toll reaches 195 with record 12 more fatalities, 927 new infections take the tally to 36,456 kathmandu valley reports 415 new cases, highest for a single day so far, according to the health ministry. ","nepal ’ covid-19 death toll reaches 195 record 12 fatalities , 927 new infections take tally 36,456 kathmandu valley reports 415 new cases , highest single day far , according health ministry .","nepal ’ covid-19 death toll reach 195 record 12 fatal , 927 new infect take talli 36,456 kathmandu valley report 415 new case , highest singl day far , accord health ministri ."
"Fisling bus accident: 3 more bodies found, death toll reaches 10 #KathmanduPost ",death toll,"fisling bus accident: 3 more bodies found, death toll reaches 10 #kathmandupost ","fisling bus accident : 3 bodies found , death toll reaches 10 # kathmandupost","fisl bu accid : 3 bodi found , death toll reach 10 # kathmandupost"
"Nepal reports five more Covid-19-related fatalities to take the death toll to 847; national tally reaches 158,089 with 2,856 new infections The active case count stands at 45,572 with 111,670 people making successful recovery so far. ",death toll,"nepal reports five more covid-19-related fatalities to take the death toll to 847; national tally reaches 158,089 with 2,856 new infections the active case count stands at 45,572 with 111,670 people making successful recovery so far. ","nepal reports five covid-19-related fatalities take death toll 847 ; national tally reaches 158,089 2,856 new infections active case count stands 45,572 111,670 people making successful recovery far .","nepal report five covid-19-rel fatal take death toll 847 ; nation talli reach 158,089 2,856 new infect activ case count stand 45,572 111,670 peopl make success recoveri far ."
Death toll in Salyan bus accident reaches 4 #KathmanduPost ,death toll,death toll in salyan bus accident reaches 4 #kathmandupost ,death toll salyan bus accident reaches 4 # kathmandupost,death toll salyan bu accid reach 4 # kathmandupost
"Nepal reports 21 more Covid-19-related fatalities to take the death toll to 715; national infection tally reaches 126,137 with 4,392 new cases ",death toll,"nepal reports 21 more covid-19-related fatalities to take the death toll to 715; national infection tally reaches 126,137 with 4,392 new cases ","nepal reports 21 covid-19-related fatalities take death toll 715 ; national infection tally reaches 126,137 4,392 new cases","nepal report 21 covid-19-rel fatal take death toll 715 ; nation infect talli reach 126,137 4,392 new case"
Death toll in Banke bus accident jumps to eight ,death toll,death toll in banke bus accident jumps to eight ,death toll banke bus accident jumps eight,death toll bank bu accid jump eight
"Nepal’s Covid-19 tally crosses 100,000 mark with 2,059 new infections; death toll reaches 600 with 10 more fatalities ",death toll,"nepal’s covid-19 tally crosses 100,000 mark with 2,059 new infections; death toll reaches 600 with 10 more fatalities ","nepal ’ covid-19 tally crosses 100,000 mark 2,059 new infections ; death toll reaches 600 10 fatalities","nepal ’ covid-19 talli cross 100,000 mark 2,059 new infect ; death toll reach 600 10 fatal"
"Nepal reports 1,128 cases as rapid antigen tests added to daily infection tallies According to the Health Ministry, the countrywide death toll has now reached 11,878 and the number of active cases stands at 27,441. ",death toll,"nepal reports 1,128 cases as rapid antigen tests added to daily infection tallies according to the health ministry, the countrywide death toll has now reached 11,878 and the number of active cases stands at 27,441. ","nepal reports 1,128 cases rapid antigen tests added daily infection tallies according health ministry , countrywide death toll reached 11,878 number active cases stands 27,441 .","nepal report 1,128 case rapid antigen test ad daili infect talli accord health ministri , countrywid death toll reach 11,878 number activ case stand 27,441 ."
"Nepal reports 19 more Covid-19-related fatalities to take the death toll to 694; national infection tally reaches 121,745 with 3,749 new cases ",death toll,"nepal reports 19 more covid-19-related fatalities to take the death toll to 694; national infection tally reaches 121,745 with 3,749 new cases ","nepal reports 19 covid-19-related fatalities take death toll 694 ; national infection tally reaches 121,745 3,749 new cases","nepal report 19 covid-19-rel fatal take death toll 694 ; nation infect talli reach 121,745 3,749 new case"
"Nepal reports 6,734 cases as rapid antigen tests added to daily infection tallies According to the Health Ministry, the countrywide death toll has now reached 11,623 and the number of active cases stands at 30,877. ",death toll,"nepal reports 6,734 cases as rapid antigen tests added to daily infection tallies according to the health ministry, the countrywide death toll has now reached 11,623 and the number of active cases stands at 30,877. ","nepal reports 6,734 cases rapid antigen tests added daily infection tallies according health ministry , countrywide death toll reached 11,623 number active cases stands 30,877 .","nepal report 6,734 case rapid antigen test ad daili infect talli accord health ministri , countrywid death toll reach 11,623 number activ case stand 30,877 ."
"Nepal reports 2,448 new Covid-19 cases, two deaths According to the Health Ministry, the countrywide death toll has now reached 11,609 and the number of active cases stands at 11,690. ",death toll,"nepal reports 2,448 new covid-19 cases, two deaths according to the health ministry, the countrywide death toll has now reached 11,609 and the number of active cases stands at 11,690. ","nepal reports 2,448 new covid-19 cases , two deaths according health ministry , countrywide death toll reached 11,609 number active cases stands 11,690 .","nepal report 2,448 new covid-19 case , two death accord health ministri , countrywid death toll reach 11,609 number activ case stand 11,690 ."
"Nepal reports 158 cases as rapid antigen tests added to daily infection tallies According to the Health Ministry, the countrywide death toll has now reached 11,938 and the number of active cases stands at 7,971. ",death toll,"nepal reports 158 cases as rapid antigen tests added to daily infection tallies according to the health ministry, the countrywide death toll has now reached 11,938 and the number of active cases stands at 7,971. ","nepal reports 158 cases rapid antigen tests added daily infection tallies according health ministry , countrywide death toll reached 11,938 number active cases stands 7,971 .","nepal report 158 case rapid antigen test ad daili infect talli accord health ministri , countrywid death toll reach 11,938 number activ case stand 7,971 ."
"Nepal reports 155 cases as rapid antigen tests added to daily infection tallies According to the Health Ministry, the countrywide death toll has now reached 11,934 and the number of active cases stands at 8,839. ",death toll,"nepal reports 155 cases as rapid antigen tests added to daily infection tallies according to the health ministry, the countrywide death toll has now reached 11,934 and the number of active cases stands at 8,839. ","nepal reports 155 cases rapid antigen tests added daily infection tallies according health ministry , countrywide death toll reached 11,934 number active cases stands 8,839 .","nepal report 155 case rapid antigen test ad daili infect talli accord health ministri , countrywid death toll reach 11,934 number activ case stand 8,839 ."
"Death toll from flood, landslide climbs to 58 [UPDATE] #KathmanduPost #floods #landslides #Monsoon2017 ",death toll,"death toll from flood, landslide climbs to 58 [update] #kathmandupost #floods #landslides #monsoon2017 ","death toll flood , landslide climbs 58 [ update ] # kathmandupost # floods # landslides # monsoon2017","death toll flood , landslid climb 58 [ updat ] # kathmandupost # flood # landslid # monsoon2017"
"UPDATE: Death toll from floods and landslides triggered by recent torrential rains has reached 69 until Monday evening, according to the latest press release issued by the Ministry of Home Affairs. ",death toll,"update: death toll from floods and landslides triggered by recent torrential rains has reached 69 until monday evening, according to the latest press release issued by the ministry of home affairs. ","update : death toll floods landslides triggered recent torrential rains reached 69 monday evening , according latest press release issued ministry home affairs .","updat : death toll flood landslid trigger recent torrenti rain reach 69 monday even , accord latest press releas issu ministri home affair ."
"Nepal reports 355 new Covid-19 cases, three deaths According to the Health Ministry, the countrywide death toll has now reached 11,469 and the number of active cases stands at 7,498. ",death toll,"nepal reports 355 new covid-19 cases, three deaths according to the health ministry, the countrywide death toll has now reached 11,469 and the number of active cases stands at 7,498. ","nepal reports 355 new covid-19 cases , three deaths according health ministry , countrywide death toll reached 11,469 number active cases stands 7,498 .","nepal report 355 new covid-19 case , three death accord health ministri , countrywid death toll reach 11,469 number activ case stand 7,498 ."
UPDATE: More bodies recovered from various landslides in Myagdi; death toll reaches 27 Around 700 people from at least 50 houses have been displaced by landslides since Thursday.  — by Ghanshyam Khadka,death toll,update: more bodies recovered from various landslides in myagdi; death toll reaches 27 around 700 people from at least 50 houses have been displaced by landslides since thursday.  — by ghanshyam khadka,update : bodies recovered various landslides myagdi ; death toll reaches 27 around 700 people least 50 houses displaced landslides since thursday . — ghanshyam khadka,updat : bodi recov variou landslid myagdi ; death toll reach 27 around 700 peopl least 50 hous displac landslid sinc thursday . — ghanshyam khadka
Death toll tops 20 as storm takes aim at eastern US The turbulent weather occurred one week after a swarm of thunderstorms unleashed a deadly tornado that devastated a town in Mississippi. ,death toll,death toll tops 20 as storm takes aim at eastern us the turbulent weather occurred one week after a swarm of thunderstorms unleashed a deadly tornado that devastated a town in mississippi. ,death toll tops 20 storm takes aim eastern us turbulent weather occurred one week swarm thunderstorms unleashed deadly tornado devastated town mississippi .,death toll top 20 storm take aim eastern us turbul weather occur one week swarm thunderstorm unleash deadli tornado devast town mississippi .
Death toll from Jajarkot jeep mishap reaches 12 A preliminary police investigation shows that the jeep was carrying passengers beyond its capacity. ,death toll,death toll from jajarkot jeep mishap reaches 12 a preliminary police investigation shows that the jeep was carrying passengers beyond its capacity. ,death toll jajarkot jeep mishap reaches 12 preliminary police investigation shows jeep carrying passengers beyond capacity .,death toll jajarkot jeep mishap reach 12 preliminari polic investig show jeep carri passeng beyond capac .
"Nepal reports 217 new Covid-19 cases, two deaths According to the Health Ministry, the countrywide death toll has now reached 11,579 and the number of active cases stands at 5,185. ",death toll,"nepal reports 217 new covid-19 cases, two deaths according to the health ministry, the countrywide death toll has now reached 11,579 and the number of active cases stands at 5,185. ","nepal reports 217 new covid-19 cases , two deaths according health ministry , countrywide death toll reached 11,579 number active cases stands 5,185 .","nepal report 217 new covid-19 case , two death accord health ministri , countrywid death toll reach 11,579 number activ case stand 5,185 ."
"Turkey-Syria earthquake death toll passes 45,000; many still missing in flattened apartments While many international rescue teams have left the vast quake zone, domestic teams continued to search through flattened buildings hoping to find more survivors. ",death toll,"turkey-syria earthquake death toll passes 45,000; many still missing in flattened apartments while many international rescue teams have left the vast quake zone, domestic teams continued to search through flattened buildings hoping to find more survivors. ","turkey-syria earthquake death toll passes 45,000 ; many still missing flattened apartments many international rescue teams left vast quake zone , domestic teams continued search flattened buildings hoping find survivors .","turkey-syria earthquak death toll pass 45,000 ; mani still miss flatten apart mani intern rescu team left vast quak zone , domest team continu search flatten build hope find survivor ."
"Coronavirus death toll rises to 41, more than 1,300 infected worldwide A doctor at a hospital in China’s Hubei province, the center of the #coronavirus outbreak, has died from the virus, according to China Global Television Network. ",death toll,"coronavirus death toll rises to 41, more than 1,300 infected worldwide a doctor at a hospital in china’s hubei province, the center of the #coronavirus outbreak, has died from the virus, according to china global television network. ","coronavirus death toll rises 41 , 1,300 infected worldwide doctor hospital china ’ hubei province , center # coronavirus outbreak , died virus , according china global television network .","coronaviru death toll rise 41 , 1,300 infect worldwid doctor hospit china ’ hubei provinc , center # coronaviru outbreak , die viru , accord china global televis network ."
"Nepal reports 224 new Covid-19 cases, four deaths According to the Health Ministry, the countrywide death toll has now reached 11,594 and the number of active cases stands at 4,879. ",death toll,"nepal reports 224 new covid-19 cases, four deaths according to the health ministry, the countrywide death toll has now reached 11,594 and the number of active cases stands at 4,879. ","nepal reports 224 new covid-19 cases , four deaths according health ministry , countrywide death toll reached 11,594 number active cases stands 4,879 .","nepal report 224 new covid-19 case , four death accord health ministri , countrywid death toll reach 11,594 number activ case stand 4,879 ."
"Nepal reports 1,957 cases as rapid antigen tests added to daily infection tallies According to the Health Ministry, the countrywide death toll has now reached 11,838 and the number of active cases stands at 36,181. ",death toll,"nepal reports 1,957 cases as rapid antigen tests added to daily infection tallies according to the health ministry, the countrywide death toll has now reached 11,838 and the number of active cases stands at 36,181. ","nepal reports 1,957 cases rapid antigen tests added daily infection tallies according health ministry , countrywide death toll reached 11,838 number active cases stands 36,181 .","nepal report 1,957 case rapid antigen test ad daili infect talli accord health ministri , countrywid death toll reach 11,838 number activ case stand 36,181 ."
"Nepal’s Covid-19 death toll climbed to 636 on Sunday with a record 22 Covid-19-related deaths, the highest single-day fatality. The country also reported 2,071 new infections taking the national coronavirus tally to 107,755. ",death toll,"nepal’s covid-19 death toll climbed to 636 on sunday with a record 22 covid-19-related deaths, the highest single-day fatality. the country also reported 2,071 new infections taking the national coronavirus tally to 107,755. ","nepal ’ covid-19 death toll climbed 636 sunday record 22 covid-19-related deaths , highest single-day fatality . country also reported 2,071 new infections taking national coronavirus tally 107,755 .","nepal ’ covid-19 death toll climb 636 sunday record 22 covid-19-rel death , highest single-day fatal . countri also report 2,071 new infect take nation coronaviru talli 107,755 ."
"Nepal reports 490 new Covid-19 cases, six deaths According to the Health Ministry, the countrywide death toll has now reached 11,388 and the number of active cases stands at 10,151. ",death toll,"nepal reports 490 new covid-19 cases, six deaths according to the health ministry, the countrywide death toll has now reached 11,388 and the number of active cases stands at 10,151. ","nepal reports 490 new covid-19 cases , six deaths according health ministry , countrywide death toll reached 11,388 number active cases stands 10,151 .","nepal report 490 new covid-19 case , six death accord health ministri , countrywid death toll reach 11,388 number activ case stand 10,151 ."
"Nepal reports 478 new Covid-19 cases, one death According to the Health Ministry, the countrywide death toll has now reached 11,602 and the number of active cases stands at 5,431. ",death toll,"nepal reports 478 new covid-19 cases, one death according to the health ministry, the countrywide death toll has now reached 11,602 and the number of active cases stands at 5,431. ","nepal reports 478 new covid-19 cases , one death according health ministry , countrywide death toll reached 11,602 number active cases stands 5,431 .","nepal report 478 new covid-19 case , one death accord health ministri , countrywid death toll reach 11,602 number activ case stand 5,431 ."
"Nepal records another highest single-day spike with 9,317 new Covid-19 cases as death toll crosses 4,000 mark The Health Ministry reports 225 new deaths including figures from past few days based on statistics from the Nepal Army. ",death toll,"nepal records another highest single-day spike with 9,317 new covid-19 cases as death toll crosses 4,000 mark the health ministry reports 225 new deaths including figures from past few days based on statistics from the nepal army. ","nepal records another highest single-day spike 9,317 new covid-19 cases death toll crosses 4,000 mark health ministry reports 225 new deaths including figures past days based statistics nepal army .","nepal record anoth highest single-day spike 9,317 new covid-19 case death toll cross 4,000 mark health ministri report 225 new death includ figur past day base statist nepal armi ."
"Nepal reports 197 new Covid-19 cases, two deaths According to the Health Ministry, the countrywide death toll has now reached 11,549 and the number of active cases stands at 6,105. ",death toll,"nepal reports 197 new covid-19 cases, two deaths according to the health ministry, the countrywide death toll has now reached 11,549 and the number of active cases stands at 6,105. ","nepal reports 197 new covid-19 cases , two deaths according health ministry , countrywide death toll reached 11,549 number active cases stands 6,105 .","nepal report 197 new covid-19 case , two death accord health ministri , countrywid death toll reach 11,549 number activ case stand 6,105 ."
"Nepal’s Covid-19 death toll reaches 251 with 12 more fatalities; 1,120 new infections take national tally to 41,649 According to the Ministry of Health and Population, 1,112 Covid patients were discharged from various hospitals in the past 24 hours. ",death toll,"nepal’s covid-19 death toll reaches 251 with 12 more fatalities; 1,120 new infections take national tally to 41,649 according to the ministry of health and population, 1,112 covid patients were discharged from various hospitals in the past 24 hours. ","nepal ’ covid-19 death toll reaches 251 12 fatalities ; 1,120 new infections take national tally 41,649 according ministry health population , 1,112 covid patients discharged various hospitals past 24 hours .","nepal ’ covid-19 death toll reach 251 12 fatal ; 1,120 new infect take nation talli 41,649 accord ministri health popul , 1,112 covid patient discharg variou hospit past 24 hour ."
London tower block fire: Death toll climbs to 30 #KathmanduPost  ,death toll,london tower block fire: death toll climbs to 30 #kathmandupost  ,london tower block fire : death toll climbs 30 # kathmandupost,london tower block fire : death toll climb 30 # kathmandupost
"Death toll in Muglin roadslide reaches 2, identity yet to be ascertained ",death toll,"death toll in muglin roadslide reaches 2, identity yet to be ascertained ","death toll muglin roadslide reaches 2 , identity yet ascertained","death toll muglin roadslid reach 2 , ident yet ascertain"
"Nepal reports 200 new Covid-19 cases, one death According to the Health Ministry, the countrywide death toll has now reached 11,541 and the number of active cases stands at 6,507. ",death toll,"nepal reports 200 new covid-19 cases, one death according to the health ministry, the countrywide death toll has now reached 11,541 and the number of active cases stands at 6,507. ","nepal reports 200 new covid-19 cases , one death according health ministry , countrywide death toll reached 11,541 number active cases stands 6,507 .","nepal report 200 new covid-19 case , one death accord health ministri , countrywid death toll reach 11,541 number activ case stand 6,507 ."
"Nepal reports 376 new Covid-19 cases, eight deaths According to the Health Ministry, the countrywide death toll has now reached 11,407 and the number of active cases stands at 9,376. ",death toll,"nepal reports 376 new covid-19 cases, eight deaths according to the health ministry, the countrywide death toll has now reached 11,407 and the number of active cases stands at 9,376. ","nepal reports 376 new covid-19 cases , eight deaths according health ministry , countrywide death toll reached 11,407 number active cases stands 9,376 .","nepal report 376 new covid-19 case , eight death accord health ministri , countrywid death toll reach 11,407 number activ case stand 9,376 ."
"Nepal reports 213 new Covid-19 cases, two deaths According to the Health Ministry, the countrywide death toll has now reached 11,596 and the number of active cases stands at 4,971. ",death toll,"nepal reports 213 new covid-19 cases, two deaths according to the health ministry, the countrywide death toll has now reached 11,596 and the number of active cases stands at 4,971. ","nepal reports 213 new covid-19 cases , two deaths according health ministry , countrywide death toll reached 11,596 number active cases stands 4,971 .","nepal report 213 new covid-19 case , two death accord health ministri , countrywid death toll reach 11,596 number activ case stand 4,971 ."
"Nepal reports 371 new Covid-19 cases, five deaths According to the Health Ministry, the countrywide death toll has now reached 11,453 and the number of active cases stands at 7,654. ",death toll,"nepal reports 371 new covid-19 cases, five deaths according to the health ministry, the countrywide death toll has now reached 11,453 and the number of active cases stands at 7,654. ","nepal reports 371 new covid-19 cases , five deaths according health ministry , countrywide death toll reached 11,453 number active cases stands 7,654 .","nepal report 371 new covid-19 case , five death accord health ministri , countrywid death toll reach 11,453 number activ case stand 7,654 ."
"Nepal reports 209 new Covid-19 cases, one death According to the Health Ministry, the countrywide death toll has now reached 11,495 and the number of active cases stands at 7,303. ",death toll,"nepal reports 209 new covid-19 cases, one death according to the health ministry, the countrywide death toll has now reached 11,495 and the number of active cases stands at 7,303. ","nepal reports 209 new covid-19 cases , one death according health ministry , countrywide death toll reached 11,495 number active cases stands 7,303 .","nepal report 209 new covid-19 case , one death accord health ministri , countrywid death toll reach 11,495 number activ case stand 7,303 ."
"The death toll from a powerful earthquake in eastern Turkey reached 22 on Saturday, as rescuers searched for an estimated 22 more people trapped under the rubble of collapsed buildings. ",death toll,"the death toll from a powerful earthquake in eastern turkey reached 22 on saturday, as rescuers searched for an estimated 22 more people trapped under the rubble of collapsed buildings. ","death toll powerful earthquake eastern turkey reached 22 saturday , rescuers searched estimated 22 people trapped rubble collapsed buildings .","death toll power earthquak eastern turkey reach 22 saturday , rescuer search estim 22 peopl trap rubbl collaps build ."
"Nepal reports 838 new Covid-19 cases, 13 deaths According to the Health Ministry, the countrywide death toll has now reached 10,949 and the number of active cases stands at 26,757. ",death toll,"nepal reports 838 new covid-19 cases, 13 deaths according to the health ministry, the countrywide death toll has now reached 10,949 and the number of active cases stands at 26,757. ","nepal reports 838 new covid-19 cases , 13 deaths according health ministry , countrywide death toll reached 10,949 number active cases stands 26,757 .","nepal report 838 new covid-19 case , 13 death accord health ministri , countrywid death toll reach 10,949 number activ case stand 26,757 ."
"Turkey-Syria earthquake death toll passes 46,000; desperation for signs of life The death toll in Turkey stands at 40,642 from the quake while neighbouring Syria has reported more than 5,800 deaths, a toll that has not changed for days. ",death toll,"turkey-syria earthquake death toll passes 46,000; desperation for signs of life the death toll in turkey stands at 40,642 from the quake while neighbouring syria has reported more than 5,800 deaths, a toll that has not changed for days. ","turkey-syria earthquake death toll passes 46,000 ; desperation signs life death toll turkey stands 40,642 quake neighbouring syria reported 5,800 deaths , toll changed days .","turkey-syria earthquak death toll pass 46,000 ; desper sign life death toll turkey stand 40,642 quak neighbour syria report 5,800 death , toll chang day ."
"Nepal reports 11,352 cases as rapid antigen tests added to daily infection tallies According to the Health Ministry, the countrywide death toll has now reached 11,628 and the number of active cases stands at 47,929. ",death toll,"nepal reports 11,352 cases as rapid antigen tests added to daily infection tallies according to the health ministry, the countrywide death toll has now reached 11,628 and the number of active cases stands at 47,929. ","nepal reports 11,352 cases rapid antigen tests added daily infection tallies according health ministry , countrywide death toll reached 11,628 number active cases stands 47,929 .","nepal report 11,352 case rapid antigen test ad daili infect talli accord health ministri , countrywid death toll reach 11,628 number activ case stand 47,929 ."
"Monsoon havoc: Flood, landslide death toll rises; at least 77 people killed since Monday  ",death toll,"monsoon havoc: flood, landslide death toll rises; at least 77 people killed since monday  ","monsoon havoc : flood , landslide death toll rises ; least 77 people killed since monday","monsoon havoc : flood , landslid death toll rise ; least 77 peopl kill sinc monday"
"Nepal reports 3,637 cases as rapid antigen tests added to daily infection tallies According to the Health Ministry, the countrywide death toll has now reached 11,764 and the number of active cases stands at 69,287. ",death toll,"nepal reports 3,637 cases as rapid antigen tests added to daily infection tallies according to the health ministry, the countrywide death toll has now reached 11,764 and the number of active cases stands at 69,287. ","nepal reports 3,637 cases rapid antigen tests added daily infection tallies according health ministry , countrywide death toll reached 11,764 number active cases stands 69,287 .","nepal report 3,637 case rapid antigen test ad daili infect talli accord health ministri , countrywid death toll reach 11,764 number activ case stand 69,287 ."
"Death toll in Kenyan starvation cult rises to 58 The death toll, which has repeatedly risen as exhumations have been carried out, could rise further. ",death toll,"death toll in kenyan starvation cult rises to 58 the death toll, which has repeatedly risen as exhumations have been carried out, could rise further. ","death toll kenyan starvation cult rises 58 death toll , repeatedly risen exhumations carried , could rise .","death toll kenyan starvat cult rise 58 death toll , repeatedli risen exhum carri , could rise ."
"Nepal reports 237 new Covid-19 cases, one death According to the Health Ministry, the countrywide death toll has now reached 11,582 and the number of active cases stands at 5,048. ",death toll,"nepal reports 237 new covid-19 cases, one death according to the health ministry, the countrywide death toll has now reached 11,582 and the number of active cases stands at 5,048. ","nepal reports 237 new covid-19 cases , one death according health ministry , countrywide death toll reached 11,582 number active cases stands 5,048 .","nepal report 237 new covid-19 case , one death accord health ministri , countrywid death toll reach 11,582 number activ case stand 5,048 ."
"380 new cases take Nepal's Covid-19 tally to 22,972; death toll at 75. Track district wise cases here.  ",death toll,"380 new cases take nepal's covid-19 tally to 22,972; death toll at 75. track district wise cases here.  ","380 new cases take nepal 's covid-19 tally 22,972 ; death toll 75. track district wise cases .","380 new case take nepal 's covid-19 talli 22,972 ; death toll 75. track district wise case ."
"Nepal reports 252 new Covid-19 cases, three deaths According to the Health Ministry, the countrywide death toll has now reached 11,577 and the number of active cases stands at 5,242. ",death toll,"nepal reports 252 new covid-19 cases, three deaths according to the health ministry, the countrywide death toll has now reached 11,577 and the number of active cases stands at 5,242. ","nepal reports 252 new covid-19 cases , three deaths according health ministry , countrywide death toll reached 11,577 number active cases stands 5,242 .","nepal report 252 new covid-19 case , three death accord health ministri , countrywid death toll reach 11,577 number activ case stand 5,242 ."
Saptari cold wave death toll reaches 15 #KathmanduPost ,death toll,saptari cold wave death toll reaches 15 #kathmandupost ,saptari cold wave death toll reaches 15 # kathmandupost,saptari cold wave death toll reach 15 # kathmandupost
"Two more deaths takes Covid-19 death toll to eight with total infections at 1,567 ",death toll,"two more deaths takes covid-19 death toll to eight with total infections at 1,567 ","two deaths takes covid-19 death toll eight total infections 1,567","two death take covid-19 death toll eight total infect 1,567"
No risk communication strategy yet as Covid-19 infections and death toll soar  — by @arjunpoudeltkp,death toll,no risk communication strategy yet as covid-19 infections and death toll soar  — by @arjunpoudeltkp,risk communication strategy yet covid-19 infections death toll soar — @ arjunpoudeltkp,risk commun strategi yet covid-19 infect death toll soar — @ arjunpoudeltkp
Philippine storm death toll climbs to 123 as army aids search ,death toll,philippine storm death toll climbs to 123 as army aids search ,philippine storm death toll climbs 123 army aids search,philippin storm death toll climb 123 armi aid search
"Nepal reports 904 new Covid-19 cases, 12 deaths According to the Health Ministry, the countrywide death toll has now reached 11,115 and the number of active cases stands at 18,422. ",death toll,"nepal reports 904 new covid-19 cases, 12 deaths according to the health ministry, the countrywide death toll has now reached 11,115 and the number of active cases stands at 18,422. ","nepal reports 904 new covid-19 cases , 12 deaths according health ministry , countrywide death toll reached 11,115 number active cases stands 18,422 .","nepal report 904 new covid-19 case , 12 death accord health ministri , countrywid death toll reach 11,115 number activ case stand 18,422 ."
Home Ministry corrects death toll in US Bangla crash #KathmanduPost ,death toll,home ministry corrects death toll in us bangla crash #kathmandupost ,home ministry corrects death toll us bangla crash # kathmandupost,home ministri correct death toll us bangla crash # kathmandupost
"Nepal reports 438 new Covid-19 cases, eight deaths According to the Health Ministry, the countrywide death toll has now reached 11,345 and the number of active cases stands at 10,559. ",death toll,"nepal reports 438 new covid-19 cases, eight deaths according to the health ministry, the countrywide death toll has now reached 11,345 and the number of active cases stands at 10,559. ","nepal reports 438 new covid-19 cases , eight deaths according health ministry , countrywide death toll reached 11,345 number active cases stands 10,559 .","nepal report 438 new covid-19 case , eight death accord health ministri , countrywid death toll reach 11,345 number activ case stand 10,559 ."
Death toll in London tower block fire rises to 17 #KathmanduPost  ,death toll,death toll in london tower block fire rises to 17 #kathmandupost  ,death toll london tower block fire rises 17 # kathmandupost,death toll london tower block fire rise 17 # kathmandupost
"Nepal reports 18 more Covid-19-related fatalities to take the death toll to 1,126; national tally reaches 197,024 with 2,571 new infections ",death toll,"nepal reports 18 more covid-19-related fatalities to take the death toll to 1,126; national tally reaches 197,024 with 2,571 new infections ","nepal reports 18 covid-19-related fatalities take death toll 1,126 ; national tally reaches 197,024 2,571 new infections","nepal report 18 covid-19-rel fatal take death toll 1,126 ; nation talli reach 197,024 2,571 new infect"
