Tweet,Keyword,tweet_lowercase
"The use of five substitutes, introduced as a tweak to the rules because of the Covid-19 pandemic, will be formally written into the Laws of the Game at a meeting in Doha on Monday, the International Football Association Board (IFAB) said. ",COVID-19,"the use of five substitutes, introduced as a tweak to the rules because of the covid-19 pandemic, will be formally written into the laws of the game at a meeting in doha on monday, the international football association board (ifab) said. "
"Nepal reports 66 new Covid-19 cases According to the ministry, 986,032 infected people have recovered from the disease so far. The number of active cases stands at 1,405. ",COVID-19,"nepal reports 66 new covid-19 cases according to the ministry, 986,032 infected people have recovered from the disease so far. the number of active cases stands at 1,405. "
"Nepal reports 915 new Covid-19 cases Number of active cases stands at 5,433. ",COVID-19,"nepal reports 915 new covid-19 cases number of active cases stands at 5,433. "
Chitwan reports first Covid-19 death in eight months A total of 451 people have succumbed to Covid-19 in the district so far. ,COVID-19,chitwan reports first covid-19 death in eight months a total of 451 people have succumbed to covid-19 in the district so far. 
Pfizer-BioNTech’s bivalent Covid-19 vaccine likely to arrive this week Experts urge authorities concerned to launch an awareness drive to boost vaccine uptake. ,COVID-19,pfizer-biontech’s bivalent covid-19 vaccine likely to arrive this week experts urge authorities concerned to launch an awareness drive to boost vaccine uptake. 
First phase of vaccination drive against Covid-19 for children aged between five and 11 starts Around 2.2 million children from 27 districts including in the Kathmandu Valley will be inoculated in the first phase of the campaign. ,COVID-19,first phase of vaccination drive against covid-19 for children aged between five and 11 starts around 2.2 million children from 27 districts including in the kathmandu valley will be inoculated in the first phase of the campaign. 
"Nepal reports 848 new Covid-19 cases One new death was reported in the last 24 hours. Number of active cases stands at 5,259. ",COVID-19,"nepal reports 848 new covid-19 cases one new death was reported in the last 24 hours. number of active cases stands at 5,259. "
WHO director-general Tedros arrives in Nepal Tedros is here to perceive the progress in the Covid-19 vaccination and typhoid vaccination drives which were launched with support from the UN health agency.  — by @arjunpoudeltkp,COVID-19,who director-general tedros arrives in nepal tedros is here to perceive the progress in the covid-19 vaccination and typhoid vaccination drives which were launched with support from the un health agency.  — by @arjunpoudeltkp
Nepal reports 69 new Covid-19 cases The ministry released the data on new infections over the last four days in its daily situation report on Monday. ,COVID-19,nepal reports 69 new covid-19 cases the ministry released the data on new infections over the last four days in its daily situation report on monday. 
"For some people, Covid-19 causes long-term effects, taking both physical and mental toll As symptoms vary, doctors say long Covid is difficult to diagnose. Experts suggest seeking advice from specialists.  — by @arjunpoudeltkp",COVID-19,"for some people, covid-19 causes long-term effects, taking both physical and mental toll as symptoms vary, doctors say long covid is difficult to diagnose. experts suggest seeking advice from specialists.  — by @arjunpoudeltkp"
"India will drop the pre-departure Covid test requirement for travellers coming from or via China, Singapore, Hong Kong, Korea, Thailand and Japan from Monday, the country's health ministry said, as Covid-19 infections have fallen sharply globally. ",COVID-19,"india will drop the pre-departure covid test requirement for travellers coming from or via china, singapore, hong kong, korea, thailand and japan from monday, the country's health ministry said, as covid-19 infections have fallen sharply globally. "
Covid test report now mandatory for all international arrivals Passengers arriving in Nepal from the international sector should mandatorily present the Covid-19 international certificate with a bar code or Covid-19 PCR negative report. ,COVID-19,covid test report now mandatory for all international arrivals passengers arriving in nepal from the international sector should mandatorily present the covid-19 international certificate with a bar code or covid-19 pcr negative report. 
"Over 2.2 million paediatric doses of Covid-19 vaccine arrive from COVAX The vaccine doses will be used as first and second doses in the 27 districts, where the first phase of vaccination campaign was launched from June 23.  — by @arjunpoudeltkp",COVID-19,"over 2.2 million paediatric doses of covid-19 vaccine arrive from covax the vaccine doses will be used as first and second doses in the 27 districts, where the first phase of vaccination campaign was launched from june 23.  — by @arjunpoudeltkp"
"Shanghai authorities doubled down on their offensive against Covid-19 on Friday, launching a new round of city-wide testing and warning residents their three-week lockdown would only be lifted in batches once transmission is stamped out. ",COVID-19,"shanghai authorities doubled down on their offensive against covid-19 on friday, launching a new round of city-wide testing and warning residents their three-week lockdown would only be lifted in batches once transmission is stamped out. "
"Nepal logs 18 new Covid-19 cases According to the Health Ministry, 966,481 infected people have recovered from the disease so far and the number of active cases stands at 282. ",COVID-19,"nepal logs 18 new covid-19 cases according to the health ministry, 966,481 infected people have recovered from the disease so far and the number of active cases stands at 282. "
"Covid-19 vaccine candidates developed by a Sinopharm subsidiary and Sinovac Biotech to target the Omicron variant were approved for clinical trials in Hong Kong, the companies said on Saturday. ",COVID-19,"covid-19 vaccine candidates developed by a sinopharm subsidiary and sinovac biotech to target the omicron variant were approved for clinical trials in hong kong, the companies said on saturday. "
"Almost three times as many people have died as a result of Covid-19 as the official data show, according to a new World Health Organization report, the most comprehensive look at the true global toll of the pandemic so far. ",COVID-19,"almost three times as many people have died as a result of covid-19 as the official data show, according to a new world health organization report, the most comprehensive look at the true global toll of the pandemic so far. "
"Nepal logs 13 new Covid-19 cases According to the Health Ministry, 965,980 infected people have recovered from the disease so far and the number of active cases stands at 637. ",COVID-19,"nepal logs 13 new covid-19 cases according to the health ministry, 965,980 infected people have recovered from the disease so far and the number of active cases stands at 637. "
Antimicrobial resistance: A pandemic long ignored Antimicrobial resistance could gain the same global reputation as Covid-19 if it is not addressed urgently.  — read opinion by Ritu Amatya &amp; Parishan Shrestha,COVID-19,antimicrobial resistance: a pandemic long ignored antimicrobial resistance could gain the same global reputation as covid-19 if it is not addressed urgently.  — read opinion by ritu amatya &amp; parishan shrestha
"Nepal reports 781 new Covid-19 cases Two new deaths were reported in the last 24 hours. Number of active cases stands at 5,775. ",COVID-19,"nepal reports 781 new covid-19 cases two new deaths were reported in the last 24 hours. number of active cases stands at 5,775. "
"The peak of China’s Covid-19 wave is expected to last two to three months, and will soon swell over the vast countryside where medical resources are relatively scarce. ",COVID-19,"the peak of china’s covid-19 wave is expected to last two to three months, and will soon swell over the vast countryside where medical resources are relatively scarce. "
EDITORIAL: Unprepared The country’s approach to Covid-19 control could be a recipe for disaster. ,COVID-19,editorial: unprepared the country’s approach to covid-19 control could be a recipe for disaster. 
"Experts warn that the timing of the dengue outbreak is serious, as the country has already been dealing with a double whammy—outbreak of cholera and resurgence of Covid-19. ",COVID-19,"experts warn that the timing of the dengue outbreak is serious, as the country has already been dealing with a double whammy—outbreak of cholera and resurgence of covid-19. "
"Nepal reports 564 new Covid-19 cases One new death was reported in the last 24 hours. Number of active cases stands at 3,929. ",COVID-19,"nepal reports 564 new covid-19 cases one new death was reported in the last 24 hours. number of active cases stands at 3,929. "
"Nepal reports 20 new Covid-19 cases According to the Health Ministry, 966,656 infected people have recovered from the disease so far and the number of active cases stands at 221. ",COVID-19,"nepal reports 20 new covid-19 cases according to the health ministry, 966,656 infected people have recovered from the disease so far and the number of active cases stands at 221. "
"Nepal logs 15 new Covid-19 cases According to the Health Ministry, 966,456 infected people have recovered from the disease so far and the number of active cases stands at 298. ",COVID-19,"nepal logs 15 new covid-19 cases according to the health ministry, 966,456 infected people have recovered from the disease so far and the number of active cases stands at 298. "
Nepal mandates Covid negative report or vaccine certificate for all international arrivals Passengers arriving in Nepal from the international sector should mandatorily present the Covid-19 vaccine certificate or Covid-19 PCR negative report. ,COVID-19,nepal mandates covid negative report or vaccine certificate for all international arrivals passengers arriving in nepal from the international sector should mandatorily present the covid-19 vaccine certificate or covid-19 pcr negative report. 
"The move came soon after Japan toughened Covid-19 rules for travellers coming directly from China, prescribing a negative result of a PCR test taken less than 72 hours before departure, as well as a negative test on arrival in Japan. ",COVID-19,"the move came soon after japan toughened covid-19 rules for travellers coming directly from china, prescribing a negative result of a pcr test taken less than 72 hours before departure, as well as a negative test on arrival in japan. "
Nepal reports 15 new Covid-19 cases The number of active cases stands at 98. ,COVID-19,nepal reports 15 new covid-19 cases the number of active cases stands at 98. 
"Nepal logs 12 new Covid-19 cases According to the Health Ministry, 966,339 infected people have recovered from the disease so far and the number of active cases stands at 375. ",COVID-19,"nepal logs 12 new covid-19 cases according to the health ministry, 966,339 infected people have recovered from the disease so far and the number of active cases stands at 375. "
"China reported almost 13,000 deaths related to Covid-19 in hospitals between January 13 and 19, adding to the nearly 60,000 in the month-or-so before that, as its experts say the wave of infections across the country has already peaked. ",COVID-19,"china reported almost 13,000 deaths related to covid-19 in hospitals between january 13 and 19, adding to the nearly 60,000 in the month-or-so before that, as its experts say the wave of infections across the country has already peaked. "
"Nepal reports 53 new Covid-19 cases According to the ministry, 986,419 infected people have recovered from the disease so far. The number of active cases stands at 1,178. ",COVID-19,"nepal reports 53 new covid-19 cases according to the ministry, 986,419 infected people have recovered from the disease so far. the number of active cases stands at 1,178. "
"Nepal logs 44 new Covid-19 cases According to the Health Ministry, 963,592 infected people have recovered from the disease so far and the number of active cases stands at 2,688. ",COVID-19,"nepal logs 44 new covid-19 cases according to the health ministry, 963,592 infected people have recovered from the disease so far and the number of active cases stands at 2,688. "
"Police on Monday stopped and searched people at the sites of weekend protests in Shanghai and Beijing, after crowds there and in other Chinese cities demonstrated against stringent Covid-19 measures disrupting lives three years into the pandemic. ",COVID-19,"police on monday stopped and searched people at the sites of weekend protests in shanghai and beijing, after crowds there and in other chinese cities demonstrated against stringent covid-19 measures disrupting lives three years into the pandemic. "
"Nepal logs 22 new Covid-19 cases According to the Health Ministry, 965,469 infected people have recovered from the disease so far and the number of active cases stands at 1,022. ",COVID-19,"nepal logs 22 new covid-19 cases according to the health ministry, 965,469 infected people have recovered from the disease so far and the number of active cases stands at 1,022. "
"Nepal logs 23 new Covid-19 cases According to the Health Ministry, 965,625 infected people have recovered from the disease so far and the number of active cases stands at 899. ",COVID-19,"nepal logs 23 new covid-19 cases according to the health ministry, 965,625 infected people have recovered from the disease so far and the number of active cases stands at 899. "
"The rise, fall, and rise of fashion rental business Kathmandu’s fashion rental stores, which were dealt a huge blow by the Covid-19 pandemic, are now making a comeback.  — by @Pinki_SR",COVID-19,"the rise, fall, and rise of fashion rental business kathmandu’s fashion rental stores, which were dealt a huge blow by the covid-19 pandemic, are now making a comeback.  — by @pinki_sr"
"Nepal reports 173 new Covid-19 cases According to the ministry, 981,059 infected people have recovered from the disease so far. The number of active cases stands at 3,612. ",COVID-19,"nepal reports 173 new covid-19 cases according to the ministry, 981,059 infected people have recovered from the disease so far. the number of active cases stands at 3,612. "
Nepal reports 55 new Covid-19 cases The number of active cases stands at 280. ,COVID-19,nepal reports 55 new covid-19 cases the number of active cases stands at 280. 
"President Bidya Devi Bhandari, who has been infected with Covid-19, has been discharged from the hospital on Tuesday. ",COVID-19,"president bidya devi bhandari, who has been infected with covid-19, has been discharged from the hospital on tuesday. "
"Nepal logs 18 new Covid-19 cases According to the Health Ministry, 966,498 infected people have recovered from the disease so far and the number of active cases stands at 283. ",COVID-19,"nepal logs 18 new covid-19 cases according to the health ministry, 966,498 infected people have recovered from the disease so far and the number of active cases stands at 283. "
"Asian Development Bank cuts Nepal’s annual growth forecast to 4.1 percent Nepal’s downturn reflects tighter monetary policy, slackened domestic demand, the unwinding of the Covid-19 stimulus, and persistent global headwinds. ",COVID-19,"asian development bank cuts nepal’s annual growth forecast to 4.1 percent nepal’s downturn reflects tighter monetary policy, slackened domestic demand, the unwinding of the covid-19 stimulus, and persistent global headwinds. "
"One more Covid-19 death reported, 121 new cases Of the 620 PCR tests taken in the last 24 hours, 58 people tested positive. Similarly, 63 people tested positive in a total of 1,757 antigen tests. ",COVID-19,"one more covid-19 death reported, 121 new cases of the 620 pcr tests taken in the last 24 hours, 58 people tested positive. similarly, 63 people tested positive in a total of 1,757 antigen tests. "
"Election crowds could give rise to fresh surge in Covid-19 cases, experts warn Health Ministry says it has asked agencies to step up vigilance and maintain supply of essential medical items including the reagents.  — by @arjunpoudeltkp",COVID-19,"election crowds could give rise to fresh surge in covid-19 cases, experts warn health ministry says it has asked agencies to step up vigilance and maintain supply of essential medical items including the reagents.  — by @arjunpoudeltkp"
"OPINION: Hybrid working post Covid-19 A hybrid working model can be good for productivity, inclusion and motivation.  — by Gemma Dale",COVID-19,"opinion: hybrid working post covid-19 a hybrid working model can be good for productivity, inclusion and motivation.  — by gemma dale"
"Shanghai, China’s most populous city, on Tuesday again tightened the first phase of a two-stage Covid-19 lockdown, asking some residents to stay indoors unless they are getting tested as the number of daily cases rose beyond 4,400. ",COVID-19,"shanghai, china’s most populous city, on tuesday again tightened the first phase of a two-stage covid-19 lockdown, asking some residents to stay indoors unless they are getting tested as the number of daily cases rose beyond 4,400. "
Nepal reports 41 new Covid-19 cases The number of active cases stands at 208. ,COVID-19,nepal reports 41 new covid-19 cases the number of active cases stands at 208. 
Nepal reports five new Covid-19 cases The number of active cases stands at 110. ,COVID-19,nepal reports five new covid-19 cases the number of active cases stands at 110. 
"Nepal reports 230 new Covid-19 cases According to the ministry, 983,781 infected people have recovered from the disease so far. The number of active cases stands at 2,505. ",COVID-19,"nepal reports 230 new covid-19 cases according to the ministry, 983,781 infected people have recovered from the disease so far. the number of active cases stands at 2,505. "
OPINION: Covid-19: No longer a pandemic? There is still a lack of scientific consensus on the criterion that determines whether a pandemic is over.  — by Sher Bahadur Pun,COVID-19,opinion: covid-19: no longer a pandemic? there is still a lack of scientific consensus on the criterion that determines whether a pandemic is over.  — by sher bahadur pun
"WHO declares end to Covid global health emergency Lifting it is a sign of the progress the world has made in these areas, but Covid-19 is here to stay, the WHO has said, even if it no longer represents an emergency. ",COVID-19,"who declares end to covid global health emergency lifting it is a sign of the progress the world has made in these areas, but covid-19 is here to stay, the who has said, even if it no longer represents an emergency. "
Nepal reports 28 new Covid-19 cases The number of active cases stands at 120. ,COVID-19,nepal reports 28 new covid-19 cases the number of active cases stands at 120. 
"Nepal reports 12 new Covid-19 cases According to the Health Ministry, 966,938 infected people have recovered from the disease so far and the number of active cases stands at 150. ",COVID-19,"nepal reports 12 new covid-19 cases according to the health ministry, 966,938 infected people have recovered from the disease so far and the number of active cases stands at 150. "
OPINION: India’s Covid-19 con India’s statistics have been portrayed as numbers tailored to suit the government’s preferred narrative.  — by @ShashiTharoor,COVID-19,opinion: india’s covid-19 con india’s statistics have been portrayed as numbers tailored to suit the government’s preferred narrative.  — by @shashitharoor
"Nepal logs 18 new Covid-19 cases According to the Health Ministry, 964,398 infected people have recovered from the disease so far and the number of active cases stands at 1,960. ",COVID-19,"nepal logs 18 new covid-19 cases according to the health ministry, 964,398 infected people have recovered from the disease so far and the number of active cases stands at 1,960. "
Nepal reports 44 new Covid-19 cases The number of active cases stands at 229. ,COVID-19,nepal reports 44 new covid-19 cases the number of active cases stands at 229. 
"Nepal reports 126 new Covid-19 cases According to the ministry, 984,977 infected people have recovered from the disease so far. The number of active cases stands at 2,129. ",COVID-19,"nepal reports 126 new covid-19 cases according to the ministry, 984,977 infected people have recovered from the disease so far. the number of active cases stands at 2,129. "
"Nepal logs 26 new Covid-19 cases According to the Health Ministry, 965,305 infected people have recovered from the disease so far and the number of active cases stands at 1,146. ",COVID-19,"nepal logs 26 new covid-19 cases according to the health ministry, 965,305 infected people have recovered from the disease so far and the number of active cases stands at 1,146. "
"Nepal logs 11 new Covid-19 cases According to the Health Ministry, 966,575 infected people have recovered from the disease so far and the number of active cases stands at 252. ",COVID-19,"nepal logs 11 new covid-19 cases according to the health ministry, 966,575 infected people have recovered from the disease so far and the number of active cases stands at 252. "
"The World Health Organization on Wednesday released an updated plan for Covid-19, laying out key strategies that, if implemented in 2022, would allow the world to end the emergency phase of the pandemic. ",COVID-19,"the world health organization on wednesday released an updated plan for covid-19, laying out key strategies that, if implemented in 2022, would allow the world to end the emergency phase of the pandemic. "
Nepal reports 17 new Covid-19 cases The number of active cases stands at 107. ,COVID-19,nepal reports 17 new covid-19 cases the number of active cases stands at 107. 
"Nepal reports 226 new Covid-19 cases According to the ministry, 981,744 infected people have recovered from the disease so far. The number of active cases stands at 3,235. ",COVID-19,"nepal reports 226 new covid-19 cases according to the ministry, 981,744 infected people have recovered from the disease so far. the number of active cases stands at 3,235. "
"Nepal on Sunday reported the first Covid-19 death in 73 days, marking the first death of the fourth wave of the pandemic. ",COVID-19,"nepal on sunday reported the first covid-19 death in 73 days, marking the first death of the fourth wave of the pandemic. "
"Nepal logs 25 new Covid-19 cases According to the Health Ministry, 965,394 infected people have recovered from the disease so far and the number of active cases stands at 1,081. ",COVID-19,"nepal logs 25 new covid-19 cases according to the health ministry, 965,394 infected people have recovered from the disease so far and the number of active cases stands at 1,081. "
Nepal reports 16 new Covid-19 cases The number of active cases stands at 110. ,COVID-19,nepal reports 16 new covid-19 cases the number of active cases stands at 110. 
"Nepal reports 335 new Covid-19 cases The number of active cases stands at 2,971. ",COVID-19,"nepal reports 335 new covid-19 cases the number of active cases stands at 2,971. "
Covid-19 vaccine shortage delays second booster shots Those in vulnerable groups were supposed to get their doses starting September.  — by @arjunpoudeltkp,COVID-19,covid-19 vaccine shortage delays second booster shots those in vulnerable groups were supposed to get their doses starting september.  — by @arjunpoudeltkp
Nepal reports eight new Covid-19 cases The number of active cases stands at 114. ,COVID-19,nepal reports eight new covid-19 cases the number of active cases stands at 114. 
OPINION: Covid-19’s lessons for democracies Democracies must ensure that their emergency preparedness is robust for the next crisis.  — by @YLeterme,COVID-19,opinion: covid-19’s lessons for democracies democracies must ensure that their emergency preparedness is robust for the next crisis.  — by @yleterme
"Nepal reports 78 new Covid-19 cases, one death The new cases were confirmed through 1,148 tests. ",COVID-19,"nepal reports 78 new covid-19 cases, one death the new cases were confirmed through 1,148 tests. "
"Nepal logs 24 new Covid-19 cases According to the Health Ministry, 965,765 infected people have recovered from the disease so far and the number of active cases stands at 812. ",COVID-19,"nepal logs 24 new covid-19 cases according to the health ministry, 965,765 infected people have recovered from the disease so far and the number of active cases stands at 812. "
"Nepal reports 895 new Covid-19 cases One new death was reported in the last 24 hours. Number of active cases stands at 4,934. ",COVID-19,"nepal reports 895 new covid-19 cases one new death was reported in the last 24 hours. number of active cases stands at 4,934. "
Nepal reports 25 new Covid-19 cases The number of active cases stands at 97. ,COVID-19,nepal reports 25 new covid-19 cases the number of active cases stands at 97. 
Nepal reports 28 new Covid-19 cases The number of active cases stands at 107. ,COVID-19,nepal reports 28 new covid-19 cases the number of active cases stands at 107. 
"China’s commercial hub of Shanghai ground to halt on Friday after the government locked down most of the city’s 26 million residents to stop the spread of Covid-19, even as official numbers put local cases falling for the second day in a row. ",COVID-19,"china’s commercial hub of shanghai ground to halt on friday after the government locked down most of the city’s 26 million residents to stop the spread of covid-19, even as official numbers put local cases falling for the second day in a row. "
"Nepal logs 10 new Covid-19 cases According to the Health Ministry, 966,399 infected people have recovered from the disease so far and the number of active cases stands at 334. ",COVID-19,"nepal logs 10 new covid-19 cases according to the health ministry, 966,399 infected people have recovered from the disease so far and the number of active cases stands at 334. "
"Nepal reports 852 new Covid-19 cases Number of active cases stands at 5,462. ",COVID-19,"nepal reports 852 new covid-19 cases number of active cases stands at 5,462. "
"Nepal reports 17 new Covid-19 cases According to the Health Ministry, 966,789 infected people have recovered from the disease so far and the number of active cases stands at 201. ",COVID-19,"nepal reports 17 new covid-19 cases according to the health ministry, 966,789 infected people have recovered from the disease so far and the number of active cases stands at 201. "
Nepal reports 98 new Covid-19 cases The number of active cases stands at 564. ,COVID-19,nepal reports 98 new covid-19 cases the number of active cases stands at 564. 
"Nepal reports 163 new Covid-19 cases According to the ministry, 984,212 infected people have recovered from the disease so far. The number of active cases stands at 2,430. ",COVID-19,"nepal reports 163 new covid-19 cases according to the ministry, 984,212 infected people have recovered from the disease so far. the number of active cases stands at 2,430. "
"China’s capital Beijing is experiencing an “explosive” Covid-19 outbreak connected to a bar, a government spokesman said on Saturday, as the commercial hub, Shanghai,conducted mass testing to contain a jump in cases tied to a hair salon. ",COVID-19,"china’s capital beijing is experiencing an “explosive” covid-19 outbreak connected to a bar, a government spokesman said on saturday, as the commercial hub, shanghai,conducted mass testing to contain a jump in cases tied to a hair salon. "
"Nepal reports 658 new Covid-19 cases According to the ministry, 979,357 infected people have recovered from the disease so far. The number of active cases stands at 4,296. ",COVID-19,"nepal reports 658 new covid-19 cases according to the ministry, 979,357 infected people have recovered from the disease so far. the number of active cases stands at 4,296. "
"Nepal logs 38 new Covid-19 cases According to the Health Ministry, 963,861 infected people have recovered from the disease so far and the number of active cases stands at 2,453. ",COVID-19,"nepal logs 38 new covid-19 cases according to the health ministry, 963,861 infected people have recovered from the disease so far and the number of active cases stands at 2,453. "
Recovery taking longer than expected Pokhara tourism has been trying to bounce back from the Covid-19 disaster. But it has been tough going.  — by @abstractdpak,COVID-19,recovery taking longer than expected pokhara tourism has been trying to bounce back from the covid-19 disaster. but it has been tough going.  — by @abstractdpak
"Nepal logs 42 new Covid-19 cases According to the Health Ministry, 965,228 infected people have recovered from the disease so far and the number of active cases stands at 1,198. ",COVID-19,"nepal logs 42 new covid-19 cases according to the health ministry, 965,228 infected people have recovered from the disease so far and the number of active cases stands at 1,198. "
China’s hesitancy to join the UN project involving other Asian nations may compound frustration by global researchers who have been pressing Beijing to share information about the origins of Covid-19. ,COVID-19,china’s hesitancy to join the un project involving other asian nations may compound frustration by global researchers who have been pressing beijing to share information about the origins of covid-19. 
"Nepal reports 206 new Covid-19 cases The number of active cases stands at 1,005. ",COVID-19,"nepal reports 206 new covid-19 cases the number of active cases stands at 1,005. "
Nepal reports 14 new Covid-19 cases The number of active cases stands at 104. ,COVID-19,nepal reports 14 new covid-19 cases the number of active cases stands at 104. 
Measles: Global increase in cases The Covid-19 pandemic made it difficult to deal with the measles outbreak and stop its spread.  — read opinion by @con_meehan,COVID-19,measles: global increase in cases the covid-19 pandemic made it difficult to deal with the measles outbreak and stop its spread.  — read opinion by @con_meehan
"Nepal reports 912 new Covid-19 cases One new death was reported in the last 24 hours. Number of active cases stands at 5,760. ",COVID-19,"nepal reports 912 new covid-19 cases one new death was reported in the last 24 hours. number of active cases stands at 5,760. "
OPINION: Breakthrough Covid-19 wave in Nepal It is difficult to predict the outcome of the current breakthrough. Careful monitoring is essential.  — by Dr Sher Bahadur Pun,COVID-19,opinion: breakthrough covid-19 wave in nepal it is difficult to predict the outcome of the current breakthrough. careful monitoring is essential.  — by dr sher bahadur pun
"Nepal reports 63 new Covid-19 cases According to the ministry, 986,720 infected people have recovered from the disease so far. The number of active cases stands at 1,004. ",COVID-19,"nepal reports 63 new covid-19 cases according to the ministry, 986,720 infected people have recovered from the disease so far. the number of active cases stands at 1,004. "
"Nepal reports 660 new Covid-19 cases One new death was reported in the last 24 hours. Number of active cases stands at 5,641. ",COVID-19,"nepal reports 660 new covid-19 cases one new death was reported in the last 24 hours. number of active cases stands at 5,641. "
Nepal reports 23 new Covid-19 cases The number of active cases stands at 110. ,COVID-19,nepal reports 23 new covid-19 cases the number of active cases stands at 110. 
"Nepal reports 15 new Covid-19 cases According to the Health Ministry, 966,747 infected people have recovered from the disease so far and the number of active cases stands at 215. ",COVID-19,"nepal reports 15 new covid-19 cases according to the health ministry, 966,747 infected people have recovered from the disease so far and the number of active cases stands at 215. "
"Nepal reports nine new Covid-19 cases According to the Health Ministry, 966,674 infected people have recovered from the disease so far and the number of active cases stands at 211. ",COVID-19,"nepal reports nine new covid-19 cases according to the health ministry, 966,674 infected people have recovered from the disease so far and the number of active cases stands at 211. "
"Nepal logs 13 new Covid-19 cases According to the Health Ministry, 966,424 infected people have recovered from the disease so far and the number of active cases stands at 318. ",COVID-19,"nepal logs 13 new covid-19 cases according to the health ministry, 966,424 infected people have recovered from the disease so far and the number of active cases stands at 318. "
"Nepal reports eight new Covid-19 cases According to the Health Ministry, 966,806 infected people have recovered from the disease so far and the number of active cases stands at 190. ",COVID-19,"nepal reports eight new covid-19 cases according to the health ministry, 966,806 infected people have recovered from the disease so far and the number of active cases stands at 190. "
EDITORIAL: Trade in limbo The Covid-19 saga cannot be continuously used as a pretext to shut the border points. ,COVID-19,editorial: trade in limbo the covid-19 saga cannot be continuously used as a pretext to shut the border points. 
"Nepal reports 868 new Covid-19 cases Three new deaths were reported in the last 24 hours. Number of active cases stands at 5,885. ",COVID-19,"nepal reports 868 new covid-19 cases three new deaths were reported in the last 24 hours. number of active cases stands at 5,885. "
"Nepal reports 104 new Covid-19 cases According to the ministry, 984,413 infected people have recovered from the disease so far. The number of active cases stands at 2,316. ",COVID-19,"nepal reports 104 new covid-19 cases according to the ministry, 984,413 infected people have recovered from the disease so far. the number of active cases stands at 2,316. "
"Nepal logs 19 new Covid-19 cases According to the Health Ministry, 966,160 infected people have recovered from the disease so far and the number of active cases stands at 520. ",COVID-19,"nepal logs 19 new covid-19 cases according to the health ministry, 966,160 infected people have recovered from the disease so far and the number of active cases stands at 520. "
"OPINION: BF.7: A cause for concern? Amid the ongoing Covid-19 crisis in China, the possible introduction of the BF.7 variant has created fear in Nepal.  — by Dr Sher Bahadur Pun",COVID-19,"opinion: bf.7: a cause for concern? amid the ongoing covid-19 crisis in china, the possible introduction of the bf.7 variant has created fear in nepal.  — by dr sher bahadur pun"
"Nepal reports 51 new Covid-19 cases According to the ministry, 986,335 infected people have recovered from the disease so far. The number of active cases stands at 1,223. ",COVID-19,"nepal reports 51 new covid-19 cases according to the ministry, 986,335 infected people have recovered from the disease so far. the number of active cases stands at 1,223. "
"Nepal reports 456 new Covid-19 cases The number of active cases stands at 2,841. ",COVID-19,"nepal reports 456 new covid-19 cases the number of active cases stands at 2,841. "
"Nepal reports 10 new Covid-19 cases According to the Health Ministry, 966,991 infected people have recovered from the disease so far and the number of active cases stands at 133. ",COVID-19,"nepal reports 10 new covid-19 cases according to the health ministry, 966,991 infected people have recovered from the disease so far and the number of active cases stands at 133. "
Thousands of children aged between five and 11 deprived of Covid-19 vaccine due to dose shortage  — by @arjunpoudeltkp,COVID-19,thousands of children aged between five and 11 deprived of covid-19 vaccine due to dose shortage  — by @arjunpoudeltkp
"Nepal logs 37 new Covid-19 cases According to the Health Ministry, the number of active cases stands at 3,241. ",COVID-19,"nepal logs 37 new covid-19 cases according to the health ministry, the number of active cases stands at 3,241. "
"Nepal reports 568 new Covid-19 cases One new death was reported in the last 24 hours. Number of active cases stands at 3,534. ",COVID-19,"nepal reports 568 new covid-19 cases one new death was reported in the last 24 hours. number of active cases stands at 3,534. "
"Dengue detection in Lalitpur raises the risk of a ‘triple whammy’ Spread of dengue is alarming as the country is already dealing with cholera outbreak and resurgence of Covid-19, experts say.  — by @arjunpoudeltkp",COVID-19,"dengue detection in lalitpur raises the risk of a ‘triple whammy’ spread of dengue is alarming as the country is already dealing with cholera outbreak and resurgence of covid-19, experts say.  — by @arjunpoudeltkp"
EDITORIAL: A bit of a concern Careful monitoring of the rise in Covid-19 cases should be given high priority. ,COVID-19,editorial: a bit of a concern careful monitoring of the rise in covid-19 cases should be given high priority. 
Nepal reports 62 new Covid-19 cases The number of active cases stands at 261. ,COVID-19,nepal reports 62 new covid-19 cases the number of active cases stands at 261. 
Nepal reports 27 new Covid-19 cases The number of active cases stands at 188. ,COVID-19,nepal reports 27 new covid-19 cases the number of active cases stands at 188. 
"Nepal reports 347 new Covid-19 cases Two new deaths were reported in the last 24 hours. Number of active cases stands at 3,177. ",COVID-19,"nepal reports 347 new covid-19 cases two new deaths were reported in the last 24 hours. number of active cases stands at 3,177. "
Nepal reports 78 new Covid-19 cases The number of active cases stands at 508. ,COVID-19,nepal reports 78 new covid-19 cases the number of active cases stands at 508. 
"Nepal reports 200 new Covid-19 cases According to the ministry, 983,103 infected people have recovered from the disease so far. The number of active cases stands at 2,642. ",COVID-19,"nepal reports 200 new covid-19 cases according to the ministry, 983,103 infected people have recovered from the disease so far. the number of active cases stands at 2,642. "
"OPINION: Enduring colonialism and Covid-19 In order to control the Covid-19 pandemic, equity and inclusion are urgently required.  — by Monica Sanchez-Flores",COVID-19,"opinion: enduring colonialism and covid-19 in order to control the covid-19 pandemic, equity and inclusion are urgently required.  — by monica sanchez-flores"
